Group,filopodia,thin,longthin,mushroom,stubby,bifurcated,motile,stable,total,GABAARs,Developmental Stage,Sex
L23-WT35-F,3.74,10.48,8.23,11.23,1.5,0.9,22.45,13.63,36.08,Yes,Pubertal,Female
L23-WT35-F,3.17,14.02,9.72,12.66,0.68,1.08,26.91,14.42,41.33,Yes,Pubertal,Female
L23-WT35-F,4.56,12.8,5.86,6.08,0.22,1.81,23.22,8.11,31.33,Yes,Pubertal,Female
L23-WT35-F,5.21,17,13.37,9.52,1.36,0.6,35.58,11.48,47.06,Yes,Pubertal,Female
L23-WT35-F,1.5,14.7,2.7,4.8,0.9,0.3,18.9,6,24.9,Yes,Pubertal,Female
L23-WT35-F,2.7,3.9,1.2,2.7,0.9,2.67,7.8,6.27,14.07,Yes,Pubertal,Female
L23-WT35-F,2.06,13.57,6.58,9.05,3.08,1.53,22.21,13.66,35.87,Yes,Pubertal,Female
L23-WT35-F,3.32,14.03,7.4,20.66,2.04,0.95,24.75,23.65,48.4,Yes,Pubertal,Female
L23-WT35-F,2.54,12.07,6.99,13.02,2.54,2.72,21.6,18.28,39.88,Yes,Pubertal,Female
L23-WT35-F,1.21,13.3,6.35,5.74,3.63,1.35,20.86,10.72,31.58,Yes,Pubertal,Female
L23-WT35-F,0.68,13.51,4.73,6.42,3.38,0.91,18.92,10.71,29.63,Yes,Pubertal,Female
L23-WT35-F,0.91,9.6,2.74,2.74,2.29,1.08,13.25,6.11,19.36,Yes,Pubertal,Female
L23-WT35-F,1.08,8.67,2.89,3.97,0.36,1.26,12.64,5.59,18.23,Yes,Pubertal,Female
L23-WT35-F,2.52,7.21,4.32,13.52,3.6,0.51,14.05,17.63,31.68,Yes,Pubertal,Female
L23-WT35-F,1.02,10.7,1.78,8.41,4.33,0,13.5,12.74,26.24,Yes,Pubertal,Female
L23-WT35-F,0.88,8.1,4.38,8.32,3.5,0.26,13.36,12.08,25.44,Yes,Pubertal,Female
L23-WT35-F,1.3,11.15,2.59,7.26,3.11,0,15.04,10.37,25.41,Yes,Pubertal,Female
L23-WT56-F,0.68221,11.9386,1.70551,5.11654,4.09323,1.12049,14.32632,10.33026,24.65658,Yes,Postpubertal,Female
L23-WT56-F,1.56869,7.61933,5.82655,6.94704,1.12049,1.41044,15.01457,9.47797,24.49254,Yes,Postpubertal,Female
L23-WT56-F,2.5858,10.10813,5.40668,7.99248,0.94029,0.41314,18.10061,9.34591,27.44652,Yes,Postpubertal,Female
L23-WT56-F,1.65255,7.43648,3.71824,4.54452,0.41314,0,12.80727,4.95766,17.76493,Yes,Postpubertal,Female
L23-WT56-F,1.21902,9.75213,2.74279,6.39984,1.82852,0,13.71394,8.22836,21.9423,Yes,Postpubertal,Female
L23-WT56-F,1.29496,9.92806,3.02158,5.17986,3.02158,0,14.2446,8.20144,22.44604,Yes,Postpubertal,Female
